ilall;Kabul;few clouds;Sale;255;
flat1;Kabul;few clouds;Sale;11;
hotel2;Mariehamn;few clouds;Sale;521;
hotel4;Mariehamn;few clouds;Both;993;
hotel3;Mariehamn;few clouds;Sale;716;
hotel3;Tirana;clear sky;Rental;577;Recommended;
hotel1;Tirana;clear sky;Rental;915;Recommended;
villa0;Tirana;clear sky;Both;552;
hotel0;Algiers;scattered clouds;Both;385;
hotel8;Algiers;scattered clouds;Rental;756;Recommended;
flat1;Luanda;clear sky;Sale;463;
villa2;The Valley;scattered clouds;Rental;605;Recommended;
villa1;Saint John's;NOT_FOUND;Sale;637;
flat7;Saint John's;NOT_FOUND;Both;909;
hotel0;Buenos Aires;scattered clouds;Both;354;
villa3;Oranjestad;scattered clouds;Rental;566;Recommended;
flat8;Vienna;light intensity shower rain;Both;700;
hotel4;Vienna;light intensity shower rain;Rental;75;
flat5;Baku;clear sky;Rental;649;Recommended;
villa3;Nassau;broken clouds;Rental;801;Recommended;
villa4;Dhaka;light rain;Sale;941;
flat7;Dhaka;light rain;Both;145;
flat6;Bridgetown;fog;Rental;383;Recommended;
flat7;Brussels;clear sky;Sale;446;
hotel3;Belmopan;light rain;Rental;400;
flat3;Belmopan;light rain;Both;794;
hotel5;Porto-Novo;scattered clouds;Both;955;
villa7;Porto-Novo;scattered clouds;Sale;407;
flat2;Thimphu;light rain;Rental;716;
villa3;Sucre;clear sky;Both;700;
flat2;Sucre;clear sky;Rental;372;Recommended;
hotel2;Sucre;clear sky;Both;633;
hotel4;Sarajevo;scattered clouds;Both;517;
flat3;Sarajevo;scattered clouds;Both;74;
flat3;Sarajevo;scattered clouds;Both;844;
villa4;Gaborone;clear sky;Sale;105;
flat7;Bras?lia;NOT_FOUND;Sale;468;
villa6;Diego Garcia;NOT_FOUND;Sale;687;
villa2;Diego Garcia;NOT_FOUND;Both;408;
villa1;Road Town;scattered clouds;Rental;457;Recommended;
flat7;Road Town;scattered clouds;Sale;597;
flat8;Bandar Seri Begawan;broken clouds;Rental;401;Recommended;
hotel6;Bandar Seri Begawan;broken clouds;Sale;994;
villa8;Ouagadougou;few clouds;Rental;602;Recommended;
villa1;Phnom Penh;broken clouds;Sale;642;
hotel1;Yaound?;NOT_FOUND;Both;569;
villa3;Ottawa;few clouds;Rental;116;Recommended;
flat1;Praia;clear sky;Rental;748;Recommended;
flat1;Praia;clear sky;Both;24;
villa3;George Town;broken clouds;Sale;765;
hotel8;Bangui;broken clouds;Both;403;
hotel1;Santiago;light intensity shower rain;Rental;340;
villa3;Beijing;clear sky;Rental;404;Recommended;
villa7;Flying Fish Cove;broken clouds;Both;974;
villa5;Bogot?;NOT_FOUND;Sale;917;
flat1;Bogot?;NOT_FOUND;Both;599;
flat8;Brazzaville;haze;Both;304;
flat5;Brazzaville;haze;Rental;474;Recommended;
hotel3;San Jos?;NOT_FOUND;Sale;547;
hotel7;Willemstad;scattered clouds;Rental;982;Recommended;
hotel0;Nicosia;NOT_FOUND;Sale;841;
villa6;Nicosia;NOT_FOUND;Sale;369;
villa6;Prague;few clouds;Sale;885;
villa8;Roseau;clear sky;Sale;357;
flat1;Roseau;clear sky;Both;145;
villa0;Roseau;clear sky;Sale;206;
flat4;Santo Domingo;few clouds;Both;892;
flat5;Santo Domingo;few clouds;Rental;226;Recommended;
hotel5;Quito;clear sky;Sale;789;
villa0;Quito;clear sky;Sale;817;
hotel6;Cairo;clear sky;Sale;128;
villa0;Cairo;clear sky;Sale;210;
villa1;San Salvador;clear sky;Rental;499;Recommended;
villa4;San Salvador;clear sky;Sale;136;
villa0;Malabo;clear sky;Both;399;
villa2;Malabo;clear sky;Rental;583;Recommended;
hotel5;Malabo;clear sky;Both;797;
flat5;Tallinn;light intensity shower rain;Sale;688;
villa2;Tallinn;light intensity shower rain;Rental;891;
villa6;Addis Ababa;light rain;Rental;455;
flat6;Stanley;clear sky;Rental;38;Recommended;
villa3;Stanley;clear sky;Sale;99;
flat6;T?rshavn;NOT_FOUND;Sale;699;
flat1;Suva;broken clouds;Both;143;
villa4;Suva;broken clouds;Both;563;
villa2;Suva;broken clouds;Sale;926;
villa4;Helsinki;shower rain;Both;880;
villa4;Port-aux-Fran?ais;NOT_FOUND;Both;412;
flat1;Banjul;broken clouds;Sale;409;
flat8;Tbilisi;clear sky;Rental;973;Recommended;
flat6;Gibraltar;few clouds;Sale;62;
villa8;Gibraltar;few clouds;Both;923;
hotel5;Athens;scattered clouds;Both;549;
flat1;Athens;scattered clouds;Rental;133;Recommended;
villa3;Nuuk;overcast clouds;Sale;815;
hotel5;Basse-Terre;broken clouds;Both;553;
flat4;Hag?t?a;NOT_FOUND;Sale;57;
hotel2;St. Peter Port;NOT_FOUND;Rental;227;Recommended;
flat1;Conakry;scattered clouds;Sale;178;
villa7;Georgetown;scattered clouds;Both;334;
hotel7;Port-au-Prince;few clouds;Sale;311;
hotel5;Port-au-Prince;few clouds;Both;913;
hotel6;Budapest;clear sky;Both;699;
villa1;Reykjav?k;NOT_FOUND;Both;830;
flat1;Reykjav?k;NOT_FOUND;Rental;138;Recommended;
flat5;New Delhi;haze;Sale;568;
villa3;New Delhi;haze;Both;880;
villa4;Jakarta;haze;Sale;557;
hotel8;Jakarta;haze;Sale;658;
flat2;Dublin;broken clouds;Rental;634;Recommended;
flat1;Jerusalem;few clouds;Rental;58;Recommended;
villa4;Kingston;few clouds;Both;660;
flat2;Kingston;few clouds;Rental;439;Recommended;
villa6;Tokyo;mist;Sale;982;
flat3;Saint Helier;fog;Rental;151;Recommended;
villa0;Bishkek;clear sky;Sale;774;
villa8;Vientiane;broken clouds;Rental;272;Recommended;
villa7;Beirut;clear sky;Rental;83;Recommended;
hotel5;Maseru;clear sky;Rental;123;Recommended;
flat0;Maseru;clear sky;Sale;543;
villa2;Tripoli;clear sky;Sale;5;
hotel5;Tripoli;clear sky;Both;805;
hotel0;Antananarivo;scattered clouds;Both;255;
villa0;Antananarivo;scattered clouds;Sale;154;
villa4;Kuala Lumpur;broken clouds;Sale;779;
hotel5;Bamako;broken clouds;Sale;396;
villa1;Valletta;clear sky;Sale;736;
villa6;Majuro;broken clouds;Both;17;
hotel6;Fort-de-France;light rain;Sale;903;
flat6;Nouakchott;clear sky;Sale;120;
hotel2;Nouakchott;clear sky;Sale;768;
hotel6;Mexico City;broken clouds;Rental;545;Recommended;
hotel3;Mexico City;broken clouds;Sale;559;
villa2;Monaco;few clouds;Sale;289;
hotel3;Ulan Bator;NOT_FOUND;Sale;259;
flat5;Ulan Bator;NOT_FOUND;Rental;879;Recommended;
flat2;Rabat;few clouds;Both;848;
hotel2;Maputo;scattered clouds;Sale;506;
flat6;Maputo;scattered clouds;Sale;901;
villa8;Yaren;clear sky;Sale;517;
villa6;Amsterdam;few clouds;Sale;307;
flat0;Amsterdam;few clouds;Rental;558;Recommended;
flat4;Noum?a;NOT_FOUND;Both;272;
flat7;Managua;scattered clouds;Both;315;
villa4;Managua;scattered clouds;Rental;485;Recommended;
hotel8;Managua;scattered clouds;Sale;783;
villa8;Niamey;few clouds;Both;866;
hotel2;Abuja;few clouds;Sale;675;
villa1;Alofi;light rain;Both;926;
flat6;Kingston;few clouds;Sale;155;
villa4;Pyongyang;broken clouds;Both;877;
villa3;Oslo;clear sky;Sale;742;
flat7;Muscat;dust;Rental;960;Recommended;
flat3;Muscat;dust;Rental;416;Recommended;
villa3;Ngerulmud;NOT_FOUND;Both;248;
hotel5;Panama City;clear sky;Both;819;
villa5;Port Moresby;few clouds;Sale;783;
villa5;Asunci?n;NOT_FOUND;Sale;677;
hotel1;Lima;few clouds;Sale;983;
hotel8;Lima;few clouds;Rental;42;Recommended;
hotel8;Manila;broken clouds;Rental;138;Recommended;
villa2;Manila;broken clouds;Rental;481;Recommended;
villa5;Warsaw;clear sky;Rental;685;Recommended;
villa3;Lisbon;few clouds;Rental;675;Recommended;
flat4;Doha;haze;Both;603;
flat2;Saint-Denis;clear sky;Both;682;
villa4;Saint-Denis;clear sky;Both;944;
villa5;Bucharest;clear sky;Both;889;
flat6;Bucharest;clear sky;Both;0;
flat6;Moscow;clear sky;Both;651;
villa5;Kigali;scattered clouds;Sale;988;
hotel1;Gustavia;scattered clouds;Sale;404;
hotel8;Gustavia;scattered clouds;Both;820;
flat6;Jamestown;broken clouds;Both;924;
flat1;Basseterre;shower rain;Rental;965;
hotel7;Basseterre;shower rain;Both;616;
hotel4;Marigot;few clouds;Rental;805;Recommended;
hotel5;Marigot;few clouds;Rental;58;Recommended;
villa3;Marigot;few clouds;Both;972;
villa8;Saint-Pierre;scattered clouds;Both;8;
flat3;Apia;few clouds;Sale;72;
villa8;Apia;few clouds;Rental;814;Recommended;
flat0;City of San Marino;thunderstorm;Both;428;
hotel7;S?o Tom?;NOT_FOUND;Sale;344;
flat4;Riyadh;clear sky;Both;574;
flat4;Riyadh;clear sky;Sale;404;
flat0;Dakar;broken clouds;Rental;368;Recommended;
flat1;Dakar;broken clouds;Both;695;
hotel6;Dakar;broken clouds;Sale;994;
hotel1;Victoria;broken clouds;Rental;209;Recommended;
villa0;Freetown;few clouds;Both;722;
hotel1;Singapore;broken clouds;Rental;855;Recommended;
flat6;Singapore;broken clouds;Both;543;
hotel1;Philipsburg;clear sky;Sale;129;
hotel6;Bratislava;few clouds;Sale;222;
villa8;Bratislava;few clouds;Rental;318;Recommended;
flat6;Ljubljana;broken clouds;Sale;736;
villa5;Honiara;haze;Both;635;
hotel1;Honiara;haze;Sale;144;
flat2;Mogadishu;broken clouds;Sale;540;
hotel5;Mogadishu;broken clouds;Both;335;
villa6;Pretoria;scattered clouds;Both;842;
hotel0;King Edward Point;NOT_FOUND;Sale;619;
villa5;Seoul;light intensity shower rain;Sale;337;
villa8;Seoul;light intensity shower rain;Both;643;
villa4;Juba;overcast clouds;Both;64;
villa3;Madrid;few clouds;Sale;596;
hotel4;Colombo;scattered clouds;Sale;405;
flat0;Paramaribo;scattered clouds;Sale;306;
villa2;Longyearbyen;broken clouds;Rental;86;Recommended;
flat5;Lobamba;few clouds;Sale;661;
villa0;Taipei;scattered clouds;Rental;359;Recommended;
flat3;Taipei;scattered clouds;Sale;206;
villa4;Dushanbe;clear sky;Rental;466;Recommended;
hotel4;Dushanbe;clear sky;Rental;703;Recommended;
flat8;Dodoma;clear sky;Sale;383;
villa7;Bangkok;scattered clouds;Both;523;
flat7;Lom?;NOT_FOUND;Rental;663;Recommended;
villa2;Lom?;NOT_FOUND;Sale;433;
villa2;Fakaofo;NOT_FOUND;Rental;502;Recommended;
hotel2;Port of Spain;shower rain;Both;579;
flat5;Ankara;few clouds;Sale;934;
villa8;Ankara;few clouds;Sale;102;
villa5;Cockburn Town;broken clouds;Rental;774;Recommended;
hotel7;Cockburn Town;broken clouds;Both;486;
hotel8;Funafuti;few clouds;Both;862;
hotel7;Kiev;clear sky;Both;965;
villa6;Kiev;clear sky;Sale;817;
villa2;Kiev;clear sky;Both;714;
flat6;Abu Dhabi;dust;Both;834;
hotel6;Washington, D.C.;overcast clouds;Rental;286;Recommended;
flat3;Washington, D.C.;overcast clouds;Both;163;
hotel8;Washington, D.C.;overcast clouds;Both;417;
hotel7;Montevideo;overcast clouds;Sale;750;
flat5;Montevideo;overcast clouds;Sale;784;
flat5;Tashkent;clear sky;Rental;907;Recommended;
hotel3;Port Vila;NOT_FOUND;Rental;130;Recommended;
hotel3;Port Vila;NOT_FOUND;Rental;173;Recommended;
villa0;Caracas;clear sky;Rental;942;Recommended;
flat0;Caracas;clear sky;Both;501;
villa0;Hanoi;clear sky;Sale;638;
hotel2;Hanoi;clear sky;Rental;705;Recommended;
hotel8;Lusaka;clear sky;Sale;818;
